U value 1,U value 2,U value 3,U value 4,U value 5,U value 6,U value 7,U value 8,U value 9,U value 10
64.27752513,-709.5523305,-4928.416724,-18511.8559,-57550.84854,-165785.2096,-462112.0833,-1269727.416,-3467168.876,-9442549.442
64.02612649,-710.7385001,-4933.346662,-18528.16525,-57599.29315,-165922.2097,-462491.0049,-1270765.151,-3469998.655,-9450251.705
64.02612649,-710.7385001,-4933.346662,-18528.16525,-57599.29315,-165922.2097,-462491.0049,-1270765.151,-3469998.655,-9450251.705
64.02612649,-710.7385001,-4933.346662,-18528.16525,-57599.29315,-165922.2097,-462491.0049,-1270765.151,-3469998.655,-9450251.705
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.3,0.6,0.9,1.2,1.5,1.8,2.1,2.4,2.7,3
0.569030903,-0.033433659,-5.451322154,-23.95889002,-78.04789546,-228.8572761,-642.5798951,-1770.974792,-4842.050357,-13193.87948
1.507092709,-0.500300978,-16.95396646,-72.67667006,-235.1436864,-687.7718283,-1929.139685,-5314.524377,-14527.95107,-39583.63843
2.536762675,-4.884186105,-53.23623831,-212.8505652,-674.9071114,-1959.086847,-5478.029108,-15071.68573,-41178.12803,-112170.9756
7.35674167,-13.40240782,-149.7317317,-600.2133605,-1904.649491,-5530.374626,-15466.01748,-42553.79501,-116265.9086,-316716.1074
15.14055504,-47.62333835,-430.6129232,-1684.066186,-5303.685048,-15355.20886,-42890.46302,-117951.4237,-322200.6487,-877619.9852
20.99504398,-152.3805346,-1124.715201,-4268.845836,-13316.52999,-38411.73639,-107128.6309,-294421.5676,-804037.605,-2189818.67
41.23948539,-362.3964321,-2594.689588,-9797.788485,-30512.9383,-87957.6506,-245243.6651,-673926.4773,-1840342.273,-5012124.231
52.27019192,-566.14077,-3941.381933,-14810.46454,-46049.92015,-132661.7906,-369791.4899,-1016071.069,-2774535.329,-7556231.001
52.41738913,-664.935367,-4546.422932,-17028.92065,-52891.38798,-152307.2018,-424478.9227,-1166249.886,-3184523.938,-8672693.14
49.32982487,-703.4242454,-4753.138568,-17764.92003,-55138.12576,-158732.5484,-442334.9015,-1215249.541,-3318252.877,-9036812.149
48.78766665,-711.1470362,-4795.329394,-17915.75374,-55599.2305,-160052.0063,-446002.5542,-1225315.198,-3345725.063,-9111615.132
48.78766665,-711.1470362,-4795.329394,-17915.75374,-55599.2305,-160052.0063,-446002.5542,-1225315.198,-3345725.063,-9111615.132
48.78766665,-711.1470362,-4795.329394,-17915.75374,-55599.2305,-160052.0063,-446002.5542,-1225315.198,-3345725.063,-9111615.132
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2
0.512687269,0.24437756,-3.234214769,-15.43926001,-51.36526364,-151.7715174,-427.4532634,-1179.583195,-3226.833571,-8794.586318
1.038061806,-0.266867319,-11.20264431,-48.31778004,-156.5957909,-458.3145522,-1285.85979,-3542.749584,-9685.000713,-26388.75895
2.504295429,0.127359753,-22.31384231,-99.29537508,-324.5328978,-952.7719837,-2676.482896,-7377.994968,-20174.00982,-54973.16449
3.741058104,-7.356826352,-79.45008062,-317.3459403,-1005.940009,-2919.658831,-8163.612004,-22460.0807,-61363.83785,-167157.14
7.464682962,-26.75634771,-232.3262133,-903.6705032,-2841.120947,-8220.204741,-22954.61793,-63119.45302,-172411.3419,-469610.0447
15.13945493,-69.10295544,-561.8538294,-2165.045837,-6786.729798,-19613.52559,-54744.12776,-150502.7615,-411065.4719,-1119612.109
23.39674114,-167.6878125,-1240.396231,-4709.606781,-14693.18553,-42384.65297,-118211.1525,-324882.2349,-887225.7694,-2416387.268
35.09303174,-376.4465826,-2623.866571,-9861.72682,-30665.01014,-88342.93651,-246256.535,-676638.9395,-1847668.348,-5031985.051
43.56479638,-600.1477468,-4068.908997,-15216.94881,-47239.432,-136004.5353,-379012.0718,-1041294.011,-2843281.943,-7743311.96
39.0180387,-687.9267076,-4563.356135,-16997.25426,-52695.48232,-151632.7157,-422471.3881,-1160586.618,-3168891.225,-8629928.531
37.91609,-701.5526858,-4636.456526,-17257.45344,-53489.6993,-153903.9741,-428783.092,-1177906.823,-3216161.066,-8758635.356
37.84426182,-701.8915914,-4637.86508,-17262.11325,-53503.54061,-153943.117,-428891.3553,-1178203.318,-3216969.574,-8760836.003
37.84426182,-701.8915914,-4637.86508,-17262.11325,-53503.54061,-153943.117,-428891.3553,-1178203.318,-3216969.574,-8760836.003
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.7,1.4,2.1,2.8,3.5,4.2,4.9,5.6,6.3,7
0.828171817,1.46109439,1.291446308,-1.059815003,-9.34131591,-33.74287935,-101.9633158,-289.2957987,-800.4083928,-2191.646579
1.289460446,0.919302316,-6.272706385,-32.00842753,-108.1511852,-321.3144745,-906.9381847,-2505.014289,-6855.221338,-18686.49593
2.921927692,-0.892243541,-32.39510238,-139.1636176,-450.5253989,-1318.029338,-3697.284397,-10185.90506,-27844.93955,-75868.30699
6.934813978,-7.510164283,-109.8366293,-451.0497429,-1441.624092,-4197.345289,-11751.23308,-32347.88996,-88398.46901,-240822.8005
11.42682017,-30.3517787,-290.8308812,-1145.799588,-3616.758586,-10480.43462,-29284.75357,-80547.10515,-220039.537,-599366.1929
19.20393888,-88.79700485,-719.6727305,-2771.869475,-8687.617316,-25105.5859,-70071.55027,-192639.0129,-526149.2179,-1433061.247
23.68290125,-233.2073614,-1643.391656,-6188.55416,-19255.47096,-55486.91762,-154686.0849,-425049.2627,-1160684.46,-3161060.135
33.24067949,-461.570222,-3126.933461,-11692.46968,-36296.33888,-104496.9172,-291205.6377,-800052.8876,-2184563.448,-5949373.674
32.78502691,-608.3327125,-4019.523069,-14960.55148,-46369.80186,-133417.4481,-371705.9346,-1021109.649,-2788040.418,-7592724.669
